order,complexity,expression,score,error
9,72,[min(v17-v18); (mean(v98-v103) + (softplus(sigmoid(mean(v61-v98))) + softplus(softplus(sigmoid(mean(v92-v93)))))); (mean(v36-v52) + mean(v36-v52)); (x92 + x92); (min(v21-v76) + (mean(v84-v93) + (x34 * x29))); (((max(v21-v42) + softplus((tanh((min(v99-v100) * (x25 + mean(v8-v69)))) + softplus((sigmoid(softplus(x86)) * softplus((max(v40-v82) * sigmoid(x66)))))))) + (max(v10-v48) * x93)) + mean(v92-v93)); (x47 + max(v47-v64)); ((x34 + mean(v65-v86)) + mean(v63-v65)); (mean(v20-v31) * (((sigmoid(mean(v92-v93)) + x85) + min(v76-v81)) + tanh((x100 + sigmoid(x11)))))],0.0,0.6544234719202058
9,83,[(((x91 * (x58 + mean(v98-v99))) + x59) + x10); (mean(v97-v102) + softplus((sigmoid(softplus(sigmoid(mean(v61-v98)))) + softplus(sigmoid(mean(v92-v93)))))); (mean(v36-v52) + mean(v36-v52)); (x92 + x92); ((min(v21-v76) + (min(v21-v76) + mean(v84-v93))) + (x34 * x29)); (((max(v21-v42) + (tanh((min(v99-v100) * (x25 + mean(v8-v69)))) + softplus((sigmoid(softplus(x86)) * softplus((max(v40-v82) * sigmoid(x66))))))) + (max(v10-v48) * x93)) + mean(v92-v93)); ((tanh(((min(v47-v78) + softplus(max(v46-v101))) + min(v78-v95))) * (x99 * (x47 + x10))) + max(v47-v64)); ((x34 + x34) + (mean(v65-v86) + mean(v63-v65))); mean(v20-v31)],0.0018603075299693699,0.6411678439395899
9,88,[(((x39 + min(v99-v100)) * x91) + (x59 + max(v7-v17))); (mean(v97-v102) + (softplus(softplus(sigmoid((min(v78-v95) + (((softplus(softplus(sigmoid(x3))) * x101) * sigmoid(sigmoid(x65))) * max(v10-v48)))))) + sigmoid(softplus(mean(v63-v98))))); (mean(v36-v52) + mean(v36-v52)); (x91 + x85); (x101 + (min(v47-v78) + (x20 * x20))); ((max(v21-v42) + tanh((min(v99-v100) * (tanh(x45) + (x25 + (max(v33-v56) + mean(v8-v69))))))) + ((softplus(softplus(sigmoid(softplus(mean(v92-v94))))) + (x93 * max(v10-v48))) + mean(v92-v93))); ((tanh((max(v46-v101) + min(v78-v95))) * (x99 * (x47 + x10))) + max(v47-v64)); (min(v12-v18) + (mean(v63-v65) + x34)); mean(v20-v31)],0.011699642772983979,0.604736638988151
9,90,[((mean(v6-v26) + ((x4 + (((tanh(x71) + min(v86-v100)) * softplus(x62)) * (min(v61-v98) + tanh((x29 * (x64 * min(v61-v98))))))) + sigmoid((x35 * x57)))) + min(v21-v32)); ((softplus(1.558) + min(v101-v102)) * softplus((sigmoid(min(v22-v28)) + softplus(max(v13-v71))))); ((x46 + (x10 + x47)) + x47); (max(v88-v96) + max(v88-v96)); (((max(v88-v96) * x14) + ((mean(v4-v11) * x26) * mean(v23-v53))) + min(v101-v102)); (softplus(((x100 + x71) * sigmoid(mean(v31-v66)))) + softplus(x73)); (x10 + (x14 + (x10 + x16))); (((min(v21-v32) + (mean(v30-v60) + min(v21-v32))) + max(v33-v54)) + mean(v23-v53)); ((x80 * x45) + min(v22-v27))],0.13192729713045462,0.4644892716996106
9,94,[(((x91 * (x17 + mean(v102-v103))) + x65) + ((x12 + min(v17-v18)) + x20)); (mean(v99-v103) + (min(v70-v89) + (softplus(sigmoid((mean(v61-v98) + x89))) + softplus(softplus(softplus(sigmoid(mean(v61-v98)))))))); (((x37 + mean(v36-v52)) + mean(v65-v86)) + x37); (x92 + min(v89-v92)); (((x27 + (x34 * x29)) + min(v9-v93)) + (min(v9-v93) + min(v21-v76))); ((max(v21-v42) + (tanh((min(v99-v100) * x25)) + softplus(softplus(softplus((softplus(tanh(x41)) * (softplus(min(v47-v78)) * softplus(max(v40-v82))))))))) + ((max(v10-v48) * x88) + mean(v92-v93))); (tanh((max(v87-v103) * ((x47 + x10) * x99))) + x34); (x34 + (((min(v3-v36) + mean(v65-v84)) + x52) + x40)); min(v12-v18)],0.007030594507274883,0.4516086939409261
9,99,[(mean(v23-v53) + (sigmoid(x35) + (x4 + ((tanh(x71) + min(v86-v100)) * (softplus(x62) * (min(v61-v98) + tanh(((x64 * min(v61-v98)) * x29)))))))); ((softplus(1.558) + min(v101-v102)) * softplus((sigmoid(min(v22-v28)) + softplus(tanh(max(v13-v71)))))); (x46 + ((x11 + x47) + x47)); (max(v98-v101) + max(v88-v96)); (x14 + ((mean(v4-v11) * (x26 * mean(v23-v53))) + min(v101-v102))); (softplus(((softplus(((max(v24-v91) * ((x41 + x9) + ((x100 * x22) + x71))) * sigmoid(tanh(mean(v18-v66))))) + (x100 + x71)) * sigmoid(tanh(mean(v31-v66))))) + softplus(x73)); (x10 + ((x14 + x10) + x16)); ((((min(v21-v32) + mean(v30-v60)) + min(v21-v32)) + max(v33-v54)) + mean(v23-v53)); x80],0.003708191736026948,0.4433125823971697
9,100,[(mean(v23-v53) + (sigmoid(x35) + (x4 + ((tanh(x71) + min(v86-v100)) * (softplus(x62) * (min(v61-v98) + tanh(((x64 * min(v61-v98)) * x29)))))))); ((softplus(1.558) + min(v101-v102)) * softplus((sigmoid(min(v22-v28)) + softplus(tanh(max(v13-v71)))))); (x46 + ((x11 + x47) + x47)); (max(v98-v101) + max(v88-v96)); (x14 + ((mean(v4-v11) * (x26 * mean(v23-v53))) + min(v101-v102))); (((softplus((max(v24-v91) * (((x41 + x9) + (x100 + x71)) * sigmoid(tanh(mean(v18-v66)))))) + (x100 + x71)) * sigmoid(tanh(mean(v31-v66)))) + softplus(x73)); (x10 + (x14 + (x10 + x16))); ((((min(v21-v32) + mean(v30-v60)) + min(v21-v32)) + max(v33-v54)) + mean(v23-v53)); ((x80 * x45) + min(v22-v27))],0.14449789976396676,0.3836678579579515
9,101,[(mean(v23-v53) + (sigmoid(x35) + (x4 + ((tanh(x71) + min(v86-v100)) * (softplus(x62) * (min(v61-v98) + tanh(((x64 * min(v61-v98)) * x29)))))))); ((softplus(1.558) + min(v101-v102)) * softplus((sigmoid(min(v22-v28)) + softplus(tanh(max(v13-v71)))))); (x46 + ((x11 + x47) + x47)); (max(v98-v101) + max(v88-v96)); (x14 + ((mean(v4-v11) * (x26 * mean(v23-v53))) + min(v101-v102))); (softplus(((softplus((max(v24-v91) * (((x41 + x9) + (x100 + x71)) * sigmoid(tanh(mean(v18-v66)))))) + (x100 + x71)) * sigmoid(tanh(mean(v31-v66))))) + softplus(x73)); (x10 + (x14 + (x16 + x10))); ((((min(v21-v32) + mean(v30-v60)) + min(v21-v32)) + max(v33-v54)) + mean(v23-v53)); ((x80 * x45) + min(v22-v27))],0.05856325352403827,0.3618442865165284
9,103,[(mean(v23-v53) + (sigmoid(x35) + (x4 + ((tanh(x71) + min(v86-v100)) * (softplus(x62) * (min(v61-v98) + tanh(((x64 * min(v61-v98)) * x29)))))))); ((softplus(1.558) + min(v101-v102)) * softplus((sigmoid(min(v22-v28)) + softplus(tanh(max(v13-v71)))))); (x46 + ((x11 + x47) + x47)); (max(v98-v101) + max(v88-v96)); (x14 + ((mean(v4-v11) * (x26 * mean(v23-v53))) + min(v101-v102))); (softplus(((softplus((max(v24-v91) * (((x41 + x9) + ((x100 * x22) + x71)) * sigmoid(tanh(mean(v18-v66)))))) + (x100 + x71)) * sigmoid(tanh(mean(v31-v66))))) + softplus(x73)); (x10 + (x14 + (x10 + x16))); ((((min(v21-v32) + mean(v30-v60)) + min(v21-v32)) + max(v33-v54)) + mean(v23-v53)); ((x80 * x45) + min(v22-v27))],0.0005435251595330174,0.36145115728376004
9,105,[((mean(v23-v53) + (sigmoid(x35) + (x4 + (((tanh(x71) + min(v86-v100)) * softplus(x62)) * (min(v61-v98) + tanh(((x64 * min(v61-v98)) * x29))))))) + min(v21-v32)); ((softplus(1.441) + min(v101-v102)) * softplus((sigmoid(min(v22-v28)) + softplus(tanh(max(v13-v71)))))); (x46 + ((x11 + x47) + x47)); (max(v98-v101) + max(v88-v96)); (x14 + ((mean(v4-v11) * (x26 * mean(v23-v53))) + min(v101-v102))); (softplus(((softplus((max(v24-v91) * (((x41 + x9) + ((x100 * x22) + x71)) * sigmoid(tanh(mean(v18-v66)))))) + (x100 + x71)) * sigmoid(tanh(mean(v31-v66))))) + softplus(x73)); (x10 + ((x14 + x10) + x16)); ((((min(v21-v32) + mean(v30-v60)) + min(v21-v32)) + max(v33-v54)) + mean(v23-v53)); ((x80 * x45) + min(v22-v27))],0.006996054386626807,0.356428911218745
9,106,[(((x91 * (x17 + mean(v102-v103))) + x65) + ((x12 + min(v17-v18)) + x20)); (mean(v99-v103) + (min(v70-v89) + (softplus(sigmoid((mean(v61-v98) + x89))) + softplus(softplus(softplus(sigmoid(mean(v61-v98)))))))); ((x37 + mean(v36-v52)) + (mean(v65-v86) + x37)); (x92 + min(v89-v92)); (((x27 + (x34 * x29)) + min(v9-v93)) + (min(v9-v93) + min(v21-v76))); ((max(v21-v42) + (tanh((min(v99-v100) * x25)) + softplus(softplus(softplus((softplus(tanh(x41)) * (softplus(min(v47-v78)) * softplus(max(v40-v82))))))))) + ((max(v10-v48) * x88) + mean(v92-v93))); (tanh((max(v87-v103) * ((x47 + x10) * x99))) + (max(v47-v64) + x34)); (x34 + (((min(v3-v36) + mean(v65-v84)) + x52) + x40)); (min(v12-v18) + (((x85 + (mean(v92-v93) + x89)) * mean(v20-v31)) + x91))],0.0003778720568348134,0.35629425213650184
